s1,s2,r1,r2,acc1,acc2,id,seq,id_sess,task,dataset,rt1,rt2,p_r2_discrete,p_r2_bayesian,p_r2_optimal,p_r2_fixed,p_r2_naive,p_c2_discrete,p_c2_bayesian,p_c2_optimal,p_c2_fixed,p_c2_naive,abs1,abs2
2.80520279946873,-0.122053917699275,1,1,1,1,18,1,18cl03,M-O,1,0.2677,0.2389,0.970488076788517,0.981894773389887,0.982144814840606,0.828160897087565,0.548571841360567,0.970488076788517,0.981894773389887,0.982144814840606,0.828160897087565,0.548571841360567,2.80520279946873,0.122053917699275
-0.717672415182377,-0.101984969718613,0,1,1,1,18,1,18cl03,M-O,1,0.4826,0.2897,0.816209845637997,0.836828550797584,0.837629884492417,0.822998745580419,0.54061569734959,0.816209845637997,0.836828550797584,0.837629884492417,0.822998745580419,0.54061569734959,0.717672415182377,0.101984969718613
0.606973058193413,-1.7242854593938,1,1,0,0,18,1,18cl03,M-O,1,0.3491,0.3219,0.207533730306925,0.158253163170372,0.159202900407324,0.184215360904875,0.0423281614710125,0.792466269693075,0.841746836829628,0.840797099592676,0.815784639095125,0.957671838528988,0.606973058193413,1.7242854593938
-1.22026082339318,0.0063336637568725,0,1,1,1,18,1,18cl03,M-O,1,0.8386,0.0831,0.859374246272747,0.865637522156671,0.866464715406651,0.797070343436405,0.502526749368901,0.859374246272747,0.865637522156671,0.866464715406651,0.797070343436405,0.502526749368901,1.22026082339318,0.0063336637568725
2.95502805049688,1.39145424185258,1,1,1,1,18,1,18cl03,M-O,1,0.1765,0.2122,0.998465666452686,0.999152070932325,0.999163712283837,0.986665303941934,0.917956136938584,0.998465666452686,0.999152070932325,0.999163712283837,0.986665303941934,0.917956136938584,2.95502805049688,1.39145424185258
1.00254342995554,1.31957867048517,1,1,1,1,18,1,18cl03,M-O,1,0.3882,0.2282,0.97208820727097,0.983474309525268,0.983575821109067,0.984001471404854,0.90651213594346,0.97208820727097,0.983474309525268,0.983575821109067,0.984001471404854,0.90651213594346,1.00254342995554,1.31957867048517
-0.370458341371129,-0.510027262178306,1,1,0,0,18,1,18cl03,M-O,1,0.3237,0.2419,0.526381013091817,0.549966496192642,0.551118642762389,0.623558980603455,0.305016181244255,0.473618986908183,0.450033503807358,0.448881357237611,0.376441019396545,0.694983818755745,0.370458341371129,0.510027262178306
1.4488482782563,1.0254920016104,1,1,1,1,18,1,18cl03,M-O,1,0.4174,0.2281,0.970147998084892,0.979754339486712,0.979901122275064,0.967869211289338,0.847434451251483,0.970147998084892,0.979754339486712,0.979901122275064,0.967869211289338,0.847434451251483,1.4488482782563,1.0254920016104
2.55443707949394,1.18921735299631,1,1,1,1,18,1,18cl03,M-O,1,0.3366,0.1624,0.995333161693024,0.996957173225963,0.996992657036074,0.977999750831778,0.882822926167078,0.995333161693024,0.996957173225963,0.996992657036074,0.977999750831778,0.882822926167078,2.55443707949394,1.18921735299631
3.02980855497829,1.3686694330909,1,1,1,1,18,1,18cl03,M-O,1,0.2041,0.0493,0.998562667121296,0.999232295815983,0.999243218879483,0.985865685278284,0.914448685363754,0.998562667121296,0.999232295815983,0.999243218879483,0.985865685278284,0.914448685363754,3.02980855497829,1.3686694330909
-0.216405217298102,0.274951242865467,0,1,1,1,18,1,18cl03,M-O,1,0.3382,0.0061,0.796402890787531,0.834801140007447,0.835474360599122,0.86429471187237,0.608323151208064,0.796402890787531,0.834801140007447,0.835474360599122,0.86429471187237,0.608323151208064,0.216405217298102,0.274951242865467
2.23946053764995,0.726968374134085,1,1,1,1,18,1,18cl03,M-O,1,0.2348,0.0061,0.982343344962152,0.986189208449335,0.986331694839256,0.939649395115295,0.766377335136835,0.982343344962152,0.986189208449335,0.986331694839256,0.939649395115295,0.766377335136835,2.23946053764995,0.726968374134085
1.64227347005983,0.538516057730307,1,1,1,1,18,1,18cl03,M-O,1,0.2318,2.5475,0.950364069441215,0.958763888102707,0.959085811147969,0.913619360696179,0.704889588893776,0.950364069441215,0.958763888102707,0.959085811147969,0.913619360696179,0.704889588893776,1.64227347005983,0.538516057730307
1.52653544545608,-0.145233473667498,1,1,1,1,18,1,18cl03,M-O,1,0.2532,0.3989,0.907803200784417,0.913618905411362,0.914245133427623,0.834002220085285,0.55773673102932,0.907803200784417,0.913618905411362,0.914245133427623,0.834002220085285,0.55773673102932,1.52653544545608,0.145233473667498
3.16404352415342,1.21560225628166,1,1,1,1,18,1,18cl03,M-O,1,0.3966,0.2272,0.998250563642601,0.999148321494689,0.999161391481651,0.979348280114702,0.887931762878729,0.998250563642601,0.999148321494689,0.999161391481651,0.979348280114702,0.887931762878729,3.16404352415342,1.21560225628166
0.335332215059498,-1.41241937633632,1,0,0,1,18,1,18cl03,M-O,1,0.4371,0.2611,0.302959875098539,0.255942693837199,0.257183043986991,0.278416967002803,0.0789132572558176,0.697040124901461,0.744057306162801,0.742816956013009,0.721583032997197,0.921086742744182,0.335332215059498,1.41241937633632
2.55258738503681,1.41130213139757,1,1,1,1,18,1,18cl03,M-O,1,0.3952,0.6597,0.997048924286529,0.998223168534626,0.998243551417898,0.987329708830683,0.920922226850773,0.997048924286529,0.998223168534626,0.998243551417898,0.987329708830683,0.920922226850773,2.55258738503681,1.41130213139757
2.95925592354176,1.12162084134783,1,1,1,1,18,1,18cl03,M-O,1,0.2705,0.4401,0.997107524688682,0.998343089236661,0.998366438773641,0.974202019177579,0.868988156813501,0.997107524688682,0.998343089236661,0.998366438773641,0.974202019177579,0.868988156813501,2.95925592354176,1.12162084134783
2.54492436514295,1.10744152168879,1,1,1,1,18,1,18cl03,M-O,1,0.0899,0.1016,0.994412100438141,0.996254586660216,0.996298307966372,0.973339386949255,0.865948458841166,0.994412100438141,0.996254586660216,0.996298307966372,0.973339386949255,0.865948458841166,2.54492436514295,1.10744152168879
