Subject,File,Task,Trial_ID,Status
sub10,lxj2_sess3,response1,0,OK
sub10,lxj2_sess3,response1,1,OK
sub10,lxj2_sess3,response1,2,OK
sub10,lxj2_sess3,response1,3,OK
sub10,lxj2_sess3,response1,4,OK
sub10,lxj2_sess3,response1,5,OK
sub10,lxj2_sess3,response1,6,OK
sub10,lxj2_sess3,response1,7,OK
sub10,lxj2_sess3,response1,8,OK
sub10,lxj2_sess3,response1,9,OK
sub10,lxj2_sess3,response1,10,Dropped_AutoReject
sub10,lxj2_sess3,response1,11,OK
sub10,lxj2_sess3,response1,12,OK
sub10,lxj2_sess3,response1,13,OK
sub10,lxj2_sess3,response1,14,OK
sub10,lxj2_sess3,response1,15,OK
sub10,lxj2_sess3,response1,16,OK
sub10,lxj2_sess3,response1,17,OK
sub10,lxj2_sess3,response1,18,OK
sub10,lxj2_sess3,response1,19,OK
sub10,lxj2_sess3,response1,20,OK
sub10,lxj2_sess3,response1,21,OK
sub10,lxj2_sess3,response1,22,OK
sub10,lxj2_sess3,response1,23,OK
sub10,lxj2_sess3,response1,24,OK
sub10,lxj2_sess3,response1,25,OK
sub10,lxj2_sess3,response1,26,OK
sub10,lxj2_sess3,response1,27,OK
sub10,lxj2_sess3,response1,28,OK
sub10,lxj2_sess3,response1,29,OK
sub10,lxj2_sess3,response1,30,OK
sub10,lxj2_sess3,response1,31,OK
sub10,lxj2_sess3,response1,32,OK
sub10,lxj2_sess3,response1,33,OK
sub10,lxj2_sess3,response1,34,OK
sub10,lxj2_sess3,response1,35,OK
sub10,lxj2_sess3,response1,36,OK
sub10,lxj2_sess3,response1,37,OK
sub10,lxj2_sess3,response1,38,OK
sub10,lxj2_sess3,response1,39,OK
sub10,lxj2_sess3,response1,40,OK
sub10,lxj2_sess3,response1,41,OK
sub10,lxj2_sess3,response1,42,OK
sub10,lxj2_sess3,response1,43,OK
sub10,lxj2_sess3,response1,44,OK
sub10,lxj2_sess3,response1,45,OK
sub10,lxj2_sess3,response1,46,OK
sub10,lxj2_sess3,response1,47,OK
sub10,lxj2_sess3,response1,48,OK
sub10,lxj2_sess3,response1,49,OK
sub10,lxj2_sess3,response1,50,OK
sub10,lxj2_sess3,response1,51,Dropped_AutoReject
sub10,lxj2_sess3,response1,52,OK
sub10,lxj2_sess3,response1,53,Dropped_AutoReject
sub10,lxj2_sess3,response1,54,OK
sub10,lxj2_sess3,response1,55,OK
sub10,lxj2_sess3,response1,56,OK
sub10,lxj2_sess3,response1,57,OK
sub10,lxj2_sess3,response1,58,OK
sub10,lxj2_sess3,response1,59,OK
sub10,lxj2_sess3,response1,60,OK
sub10,lxj2_sess3,response1,61,OK
